90026,Los Angeles,two-family dwellings,1700 Sunset Blvd,CA
91367,Woodland Hills,extensive agricultural use,23475 Long Valley Rd,CA
90026,Los Angeles,residential accessory,1320 Glendale Blvd,CA
90731,San Pedro,residential estate,3601 S Gaffey St,CA
90026,Los Angeles,residential accessory,1562 Baxter St,CA
90029,Los Angeles,limited ground floor commercial,3922 Sunset Blvd,CA
90027,Los Angeles,two-family dwellings,1750 Hillhurst Ave,CA
90028,Los Angeles,extensive agricultural use,6126 Hollywood Blvd,CA
91104,Pasadena,limited ground floor commercial,1329 N Lake Ave,CA
90038,Los Angeles,public facility,709 N La Brea Ave,CA
90015,Los Angeles,extensive agricultural use,929 S Broadway,CA
90026,Los Angeles,residential estate,1016 N Alvarado St,CA
90071,Los Angeles,open space,401 S Hope St,CA
90029,Los Angeles,residential estate,720 N Virgil Ave,CA
90004,Los Angeles,residential estate,5851 Clinton St,CA
90028,Los Angeles,extensive agricultural use,7001 Franklin Ave,CA
90026,Los Angeles,two-family dwellings,822 N Alvarado St,CA
90221,Compton,public facility,701 S Santa Fe Ave,CA
90059,Los Angeles,limited ground floor commercial,905 E El Segundo Blvd,CA
90044,Los Angeles,two-family dwellings,12521 Vermont Ave,CA
